Rodada,Mandante,Placar_Mandante,Placar_Visitante,Visitante,Estadio,Data,Dia,Hora
1,Vitória,0,1,Palmeiras,Barradão,14/04,Domingo,18:30
1,Internacional,2,1,Bahia,Beira-Rio,13/04,Sábado,18:30
1,Criciúma,1,1,Juventude,Heriberto Hülse,13/04,Sábado,18:30
1,Fluminense,2,2,Bragantino,Maracanã,13/04,Sábado,21:00
1,São Paulo,1,2,Fortaleza,Morumbis,13/04,Sábado,21:00
1,Cruzeiro,3,2,Botafogo,Mineirão,14/04,Domingo,17:00
1,Corinthians,0,0,Atlético-MG,Neo Química Arena,14/04,Domingo,16:00
1,Athletico-PR,4,0,Cuiabá,Ligga Arena,14/04,Domingo,16:00
1,Atlético-GO,1,2,Flamengo,Serra Dourada,14/04,Domingo,16:00
1,Vasco,2,1,Grêmio,São Januário,14/04,Domingo,16:00
2,Bahia,2,1,Fluminense,Casa de Apostas Arena Fonte Nova,16/04,Terça,21:30
2,Grêmio,2,0,Athletico-PR,Arena do Grêmio,17/04,Quarta,19:00
2,Bragantino,2,1,Vasco,Nabi Abi Chedid,17/04,Quarta,19:00
2,Atlético-MG,1,1,Criciúma,Arena MRV,17/04,Quarta,20:00
2,Palmeiras,0,1,Internacional,Arena Barueri,17/04,Quarta,20:00
2,Fortaleza,1,1,Cruzeiro,Castelão (CE),17/04,Quarta,20:00
2,Juventude,2,0,Corinthians,Alfredo Jaconi,17/04,Quarta,20:00
2,Flamengo,2,1,São Paulo,Maracanã,17/04,Quarta,21:30
2,Botafogo,1,0,Atlético-GO,Nilton Santos (Engenhão),18/04,Quinta,21:30
2,Cuiabá,0,0,Vitória,Arena Pantanal,05/06,Quarta,20:00
3,Fluminense,2,1,Vasco,Maracanã,20/04,Sábado,16:00
3,Grêmio,1,0,Cuiabá,Arena do Grêmio,20/04,Sábado,18:30
3,Bragantino,1,0,Corinthians,Nabi Abi Chedid,20/04,Sábado,18:30
3,Atlético-MG,3,0,Cruzeiro,Arena MRV,20/04,Sábado,21:00
3,Criciúma,1,1,Fortaleza,Heriberto Hülse,24/07,Quarta,19:00
3,Palmeiras,0,0,Flamengo,Allianz Parque,21/04,Domingo,16:00
3,Athletico-PR,1,0,Internacional,Ligga Arena,21/04,Domingo,16:00
3,Botafogo,5,1,Juventude,Nilton Santos (Engenhão),21/04,Domingo,18:30
3,Atlético-GO,0,3,São Paulo,Antônio Accioly,21/04,Domingo,18:30
3,Vitória,2,2,Bahia,Barradão,21/04,Domingo,16:00
4,Bahia,1,0,Grêmio,Casa de Apostas Arena Fonte Nova,27/04,Sábado,21:00
4,Vasco,0,4,Criciúma,São Januário,27/04,Sábado,16:00
4,Cuiabá,0,3,Atlético-MG,Arena Pantanal,27/04,Sábado,18:30
4,Flamengo,0,2,Botafogo,Maracanã,28/04,Domingo,11:00
4,Cruzeiro,3,1,Vitória,Mineirão,28/04,Domingo,16:00
4,Corinthians,3,0,Fluminense,Neo Química Arena,28/04,Domingo,16:00
4,Fortaleza,1,1,Bragantino,Castelão (CE),28/04,Domingo,18:30
4,Juventude,1,1,Athletico-PR,Alfredo Jaconi,28/04,Domingo,18:30
4,Internacional,1,1,Atlético-GO,Beira-Rio,28/04,Domingo,20:00
4,São Paulo,0,0,Palmeiras,Morumbis,29/04,Segunda,20:00
5,Fluminense,2,2,Atlético-MG,Kleber Andrade,04/05,Sábado,16:00
5,Bragantino,1,1,Flamengo,Nabi Abi Chedid,04/05,Sábado,18:30
5,Corinthians,0,0,Fortaleza,Neo Química Arena,04/05,Sábado,21:00
5,Vitória,1,3,São Paulo,Barradão,05/05,Domingo,16:00
